file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\api\src\main\java\org\apache\iceberg\io\SupportsBulkOperations.java,org.apache.iceberg.io.SupportsBulkOperations,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\orc\src\main\java\org\apache\iceberg\data\orc\GenericOrcWriters.java,org.apache.iceberg.data.orc.GenericOrcWriters$MapWriter,innerclass,7,7,0,7,5,1,0,15,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,3,30,1,2,0,0,2,0,1,10,2,7,1,0,0,0,18,10,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\hadoop\ConfigProperties.java,org.apache.iceberg.hadoop.ConfigProperties,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,7,0,0,0,0,0,3,0,3,0,3,0,0,0,0,19,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\test\java\org\apache\iceberg\spark\TestSparkValueConverter.java,org.apache.iceberg.spark.TestSparkValueConverter,class,5,6,1,5,5,1,0,10,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,13,18,6,0,6,0,0,0,0,25,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\util\SerializableMap.java,org.apache.iceberg.util.SerializableMap,class,3,8,5,3,21,1,0,16,0,0.5,0.88235295,0.88235295,18,1,16,1,0,1,17,0,0,0,2,0,0,2,0,0,1,0,1,66,14,0,3,0,0,0,0,3,0,2,3,0,0,0,32,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\hive3\src\main\java\org\apache\iceberg\orc\VectorizedReadUtils.java,org.apache.iceberg.orc.VectorizedReadUtils,class,5,6,1,5,2,1,0,3,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,1,0,0,0,1,0,1,1,0,0,0,54,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\jmh\java\org\apache\iceberg\spark\source\parquet\IcebergSourceNestedParquetDataFilterBenchmark.java,org.apache.iceberg.spark.source.parquet.IcebergSourceNestedParquetDataFilterBenchmark,class,8,9,1,8,7,3,0,30,9,0.72222215,0.3,0.3,6,0,5,1,0,0,5,0,0,0,3,3,0,3,0,0,3,0,3,49,0,1,0,0,0,9,15,12,3,12,1,0,0,3,94,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\aliyun\src\test\java\org\apache\iceberg\aliyun\oss\TestOSSFileIO.java,org.apache.iceberg.aliyun.oss.TestOSSFileIO,class,16,17,1,16,15,2,0,49,61,0.8392857,0.47619048,0.47619048,14,0,7,7,0,0,7,0,0,0,4,1,0,4,0,0,3,0,5,104,6,0,1,3,0,20,6,37,4,37,1,0,0,1,69,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.16\flink\src\test\java\org\apache\iceberg\flink\sink\shuffle\TestDataStatisticsOperator.java,org.apache.iceberg.flink.sink.shuffle.TestDataStatisticsOperator$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,12,-1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\api\src\main\java\org\apache\iceberg\types\Types.java,org.apache.iceberg.types.Types$FloatType,innerclass,3,3,0,3,3,2,0,0,3,0.6666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,3,0,0,0,0,1,0,1,0,1,0,0,0,0,16,9,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\io\BaseTaskWriter.java,org.apache.iceberg.io.BaseTaskWriter$BaseRollingWriter,innerclass,6,6,0,6,20,1,0,15,40,0.75,0.035714287,0.035714287,12,0,4,4,0,4,8,4,0,0,5,1,0,5,0,0,2,0,0,72,3,0,4,2,0,1,6,12,1,5,4,0,0,0,51,1026,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\BaseIncrementalAppendScan.java,org.apache.iceberg.BaseIncrementalAppendScan,class,13,15,2,13,13,3,0,45,15,0.0,0.0,0.0,6,1,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,41,6,1,1,0,0,0,1,9,0,10,2,0,0,3,55,0,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\MetadataUpdate.java,org.apache.iceberg.MetadataUpdate$SetStatistics,innerclass,3,3,0,3,4,1,0,1,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,0,0,12,0,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\rest\responses\ErrorResponseParser.java,org.apache.iceberg.rest.responses.ErrorResponseParser,class,6,10,4,6,8,1,0,27,9,0.5,0.1,0.1,6,5,5,1,0,0,5,0,0,0,5,5,0,5,0,0,5,0,11,40,4,0,2,0,0,7,0,10,0,11,1,0,0,1,46,1,0
